url,title,bucket,priority,error,status,raw_path,extracted_path,bytes,chars
https://www.airuniversity.af.edu/Portals/10/CASI/documents/Research/Infrastructure/2026-03-09%20PLARF%20Nuclear%20Warhead%20Management.pdf,PLA Rocket Force Nuclear Warhead Management,oob_casi,P1,403 Client Error: Forbidden for url: https://www.airuniversity.af.edu/Portals/10/CASI/documents/Research/Infrastructure/2026-03-09%20PLARF%20Nuclear%20Warhead%20Management.pdf,fail,,,0,0
https://www.airuniversity.af.edu/Portals/10/CASI/documents/Research/PLARF/2022-01-05%20PLARF%20Organization%20ExecSum.pdf,PLA Rocket Force Organization,oob_casi,P1,403 Client Error: Forbidden for url: https://www.airuniversity.af.edu/Portals/10/CASI/documents/Research/PLARF/2022-01-05%20PLARF%20Organization%20ExecSum.pdf,fail,,,0,0
https://www.38north.org/category/nuclear-weapons/,38 North — Nuclear Weapons Program Analysis (Category Hub),dprk_38north,P1,404 Client Error: Not Found for url: https://www.38north.org/category/nuclear-weapons/,fail,,,0,0
https://www.armyupress.army.mil/Journals/Military-Review/English-Edition-Archives/May-June-2019/Borne-Targeting-Multi-domain/,Targeting in Multi-Domain Operations,ct_doctrine_us_army,P1,403 Client Error: Forbidden for url: https://www.armyupress.army.mil/Journals/Military-Review/English-Edition-Archives/May-June-2019/Borne-Targeting-Multi-domain/,fail,,,0,0
https://www.38north.org/dprk-digital-atlas/,38 North — DPRK Digital Atlas (Satellite Imagery Map),dprk_38north,P1,404 Client Error: Not Found for url: https://www.38north.org/dprk-digital-atlas/,fail,,,0,0
https://www.aspi.org.au/report/chinas-defence-budget-2024,ASPI China's Defence Budget Analysis,china_au_aspi,P1,404 Client Error: Not Found for url: https://www.aspi.org.au/report/chinas-defence-budget-2024,fail,,,0,0
https://www.aspi.org.au/report/cost-command,The Cost of Command: The PLA's Approach to Command and Control,china_au_aspi,P1,404 Client Error: Not Found for url: https://www.aspi.org.au/report/cost-command,fail,,,0,0
https://www.aspi.org.au/report/latest-flashpoint-india-china-border-zooming-tawang-border-skirmishes/,Borderlands: ASPI India-China Border Analysis,china_au_aspi,P1,,ok,/home/user/workspace/inquisitor_corpus/raw/china_au_aspi/borderlands-aspi-india-china-border-analysis-5e5d5aae.html,/home/user/workspace/inquisitor_corpus/extracted/china_au_aspi/borderlands-aspi-india-china-border-analysis-5e5d5aae.txt,22936,19007
https://www.aspi.org.au/report/mapping-chinas-tech-giants/,Mapping China's Tech Giants,china_au_aspi,P1,,ok,/home/user/workspace/inquisitor_corpus/raw/china_au_aspi/mapping-china-s-tech-giants-ce929be2.html,/home/user/workspace/inquisitor_corpus/extracted/china_au_aspi/mapping-china-s-tech-giants-ce929be2.txt,42621,33653
https://www.aspi.org.au/report/mapping-more-chinas-tech-giants/,Mapping More of China's Tech Giants: AI and Surveillance,china_au_aspi,P1,,ok,/home/user/workspace/inquisitor_corpus/raw/china_au_aspi/mapping-more-of-china-s-tech-giants-ai-and-surveillance-15f1dead.html,/home/user/workspace/inquisitor_corpus/extracted/china_au_aspi/mapping-more-of-china-s-tech-giants-ai-and-surveillance-15f1dead.txt,47623,36830
https://www.aspi.org.au/report/tipping-balance,Tipping the Balance: China's Military Build-up in the Asia-Pacific and What Australia Can Do About It,china_au_aspi,P1,404 Client Error: Not Found for url: https://www.aspi.org.au/report/tipping-balance,fail,,,0,0
https://www.aspi.org.au/report/trust-and-verify,Trust and Verify: Assessing China's Military Capabilities in the Indo-Pacific,china_au_aspi,P1,404 Client Error: Not Found for url: https://www.aspi.org.au/report/trust-and-verify,fail,,,0,0
https://www.cnas.org/publications/reports/coal-coke-and-conflict,"Coal, Coke, and Conflict: The Geoeconomics of a Taiwan Contingency",china_cnas,P1,404 Client Error: Not Found for url: https://www.cnas.org/publications/reports/coal-coke-and-conflict,fail,,,0,0
https://www.aspi.org.au/report/vampire-vampire-vampire-plas-anti-ship-cruise-missile-threat-australian-and-allied-naval/,VAMPIRE VAMPIRE VAMPIRE: The PLA's Anti-Ship Cruise Missile Threat to Australian and Allied Naval Forces,china_au_aspi,P1,,ok,/home/user/workspace/inquisitor_corpus/raw/china_au_aspi/vampire-vampire-vampire-the-pla-s-anti-ship-cruise-missile-threat-to-australian-and-allied-naval-forces-d0dc6e24.html,/home/user/workspace/inquisitor_corpus/extracted/china_au_aspi/vampire-vampire-vampire-the-pla-s-anti-ship-cruise-missile-threat-to-australian-and-allied-naval-forces-d0dc6e24.txt,20968,17042
https://www.cnas.org/publications/reports/dangerous-strait,Dangerous Strait: The US-Taiwan-China Crisis,china_cnas,P1,404 Client Error: Not Found for url: https://www.cnas.org/publications/reports/dangerous-strait,fail,,,0,0
https://www.conflictarm.com/dispatches/evolution-of-uavs-employed-by-houthi-forces-in-yemen/,CAR — Evolution of UAVs Employed by Houthi Forces in Yemen,iran_car,P1,503 Server Error: Service Unavailable for url: https://www.conflictarm.com/dispatches/evolution-of-uavs-employed-by-houthi-forces-in-yemen/,fail,,,0,0
https://www.cnas.org/publications/reports/preventing-the-unthinkable,Preventing the Unthinkable: A US-China War in the Taiwan Strait,china_cnas,P1,404 Client Error: Not Found for url: https://www.cnas.org/publications/reports/preventing-the-unthinkable,fail,,,0,0
https://www.counterextremism.com/threat/isis-greater-sahara,ISIS-Sahel Province Profile,ct_org_is_family,P1,404 Client Error: Not Found for url: https://www.counterextremism.com/threat/isis-greater-sahara,fail,,,0,0
https://www.aspi.org.au/report/xis-ambition,Xi's Ambition: China's Future Plans for Its Military Forces,china_au_aspi,P1,404 Client Error: Not Found for url: https://www.aspi.org.au/report/xis-ambition,fail,,,0,0
https://www.criticalthreats.org/analysis/iran-update,Critical Threats — Iran Update (Daily Special Reports),iran_ctp,P1,404 Client Error: Not Found for url: https://www.criticalthreats.org/analysis/iran-update,fail,,,0,0
https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment,Critical Threats — ISW/AEI Russian Offensive Campaign Assessment (Context: Iranian UAV supply to Russia),iran_ctp,P1,404 Client Error: Not Found for url: https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment,fail,,,0,0
https://www.csbaonline.org/uploads/documents/CSBA8393_(Focused_Force_Report,Focused Force: China's Military Challenge and Australia's Response,china_csba,P1,404 Client Error: Not Found for url: https://www.csbaonline.org/uploads/documents/CSBA8393_(Focused_Force_Report,fail,,,0,0
https://www.dia.mil/News-Features/Articles/Article-View/Article/3662325/dia-report-confirms-the-houthis-use-of-iranian-missiles-and-unmanned-aerial-veh/,DIA — Houthis' Use of Iranian Missiles and UAVs (2024 Report),iran_dia,P1,403 Client Error: Forbidden for url: https://www.dia.mil/News-Features/Articles/Article-View/Article/3662325/dia-report-confirms-the-houthis-use-of-iranian-missiles-and-unmanned-aerial-veh/,fail,,,0,0
https://www.criticalthreats.org/teams/iran-file,Critical Threats — Iran File Archive,iran_ctp,P1,404 Client Error: Not Found for url: https://www.criticalthreats.org/teams/iran-file,fail,,,0,0
https://www.dia.mil/Military-Power-Publications/,DIA Military Power Publications,oob_dia_dprk,P1,403 Client Error: Forbidden for url: https://www.dia.mil/Military-Power-Publications/,fail,,,0,0
https://www.dia.mil/Portals/110/Documents/News/NKMP.pdf,DIA — 2021 North Korean Military Power Report,dprk_dia,P1,403 Client Error: Forbidden for url: https://www.dia.mil/Portals/110/Documents/News/NKMP.pdf,fail,,,0,0
https://www.dia.mil/Portals/110/Documents/News/North_Korea_Military_Power.pdf,North Korea Military Power: A Growing Regional and Global Threat,oob_dia_dprk,P1,403 Client Error: Forbidden for url: https://www.dia.mil/Portals/110/Documents/News/North_Korea_Military_Power.pdf,fail,,,0,0
